Name,Hometown,High School
Jordan Smith,"Chelsea, Ala.",Chelsea
Thomas Fletcher,"Georgetown, Texas",IMG Academy
Melvin Billingsley,"Opelika, Ala.",Opelika
Christian Swann,"Mableton, Ga.",Pebblebrook
Byron Young,"Laurel, Miss.",West Jones
Phidarian Mathis,"Wisner, La.",Neville
Julian Lowenstein,"Sarasota, Fla.",Riverview
Gabe Pugh,"Tuscaloosa, Ala.",Northridge
Tim Smith,"Gifford, Fla.",Sebastian River
Tanner Bowles,"Glasgow, Ky.",Glasgow
Robert Ellis,"Enterprise, Ala.",Enterprise
Braylen Ingraham,"Fort Lauderdale, Fla.",St. Thomas Aquinas
Matthew Barnhill,"Woodway, Texas",Midway
Kyle Flood Jr.,"Middlesex, N.J.",Saint Joseph
Emil Ekiyor Jr.,"Indianapolis, Ind.",Cathedral
Seth McLaughlin,"Buford, Ga.",Buford
Charlie Skehan,"Columbia, S.C.",Cardinal Newman
Javion Cohen,"Phenix City, Ala.",Central
Joe Donald,"Mountain Brook, Ala.",Mountain Brook
Christian Barmore,"Philadelphia, Pa.",Neumann Goretti
Jake Hall,"Saraland, Ala.",Saraland
Bennett Whisenhunt,"Vestavia Hills, Ala.",Vestavia Hills
Jackson Roby,"Huntsville, Ala.",Huntsville
Deonte Brown,"Decatur, Ala.",Austin
Brandon Cade,"Birmingham, Ala.",Minor
Donovan Hardin,"Dublin, Ohio",Dublin Scioto
Alajujuan Sparks Jr.,"Hoover, Ala.",Hoover
Landon Dickerson,"Hickory, N.C.",South Caldwell
Alex Leatherwood,"Pensacola, Fla.",Booker T. Washington
Darrian Dalcourt,"Havre de Grace, Md.",Saint Frances Academy
Pierce Quick,"Trussville, Ala.",Hewitt-Trussville
Evan Neal,"Okeechobee, Fla.",IMG Academy
Damieon George Jr.,"Houston, Texas",North Shore
Tommy Brown,"Santa Ana, Calif.",Mater Dei
Amari Kight,"Alabaster, Ala.",Thompson
Chris Owens,"Arlington, Texas",Lamar
Michael Parker,"Huntsville, Ala.",Westminster Christian
Cameron Latu,"Salt Lake City, Utah",Olympus
Chase Allen,"Colleyville, Texas",Colleyville Heritage
Richard Hunt,"Memphis, Tenn.",Briarcrest Christian
Joshua Lanier,"Tuscaloosa, Ala.",Tuscaloosa Academy
Drew Kobayashi,"Honolulu, Hawai'i",St. Louis
Charlie Scott,"Greenwood Village, Colo.",Cherry Creek
Carl Tucker,"Concord, N.C.",Hough
Miller Forristall,"Cartersville, Ga.",Cartersville
Major Tennison,"Flint, Texas",Bullard
Grant Krieger,"Pittsburgh, Pa.",Pine-Richland
Kyle Mann,"Powder Springs, Ga.",McEachern
Stephon Wynn Jr.,"Anderson, S.C.",IMG Academy
Gavin Reeder,"Charlotte, N.C.",Providence
Justin Eboigbe,"Forest Park, Ga.",Forest Park
Jah-Marien Latham,"Reform, Ala.",Pickens County
Tripp Slyman,"Huntsville, Ala.",Randolph
DJ Dale,"Birmingham, Ala.",Clay-Chalkville
Jack Martin,"Mobile, Ala.",McGill-Toolen
Landon Bothwell,"Oneonta, Ala.",Oneonta
Joseph Bulovas,"Mandeville, La.",Mandeville
LT Ikner,"Daphne, Ala.",Daphne
Jamil Burroughs,"Powder Springs, Ga.",McEachern
Sam Johnson,"Birmingham, Ala.",Oak Mountain
Ty Perine,"Prattville, Ala.",Prattville
Kendall Randolph,"Madison, Ala.",Bob Jones
